T    1  1 ,6871556E+05   2000611E-03  ,3377E+02  ,5343E+01   ,9988665 -,0449872  ,0155546
T    2  1 ,6831494E+05   2001579E-03 -,3964E+02  ,3481E+02   ,9942194 -,0635286  ,0865557
T    3  1 ,6711004E+05   2000704E-03  ,1675E+02  ,9911E+02   ,9973004  ,0114781  ,0725273
T    4  1 ,6715569E+05   2000290E-03 -,4880E+02 -,2353E+02   ,9995001 -,0092514 -,0302311
T    5  1 ,6735402E+05   2000812E-03 -,1323E+02  ,7236E+02   ,9985728 -,0182875  ,0501781
T    6  1 ,6806033E+05   2001018E-03  ,5781E+01 -,2520E+02   ,9996037 -,0073572 -,0271716
T    7  1 ,6861535E+05   2001827E-03  ,5065E+02 -,5703E+02   ,9984266  ,0380182 -,0412181
T    8  1 ,6771911E+05   2001176E-03 -,4577E+01  ,1161E+02   ,9998586 -,0021010  ,0166813
T    9  1 ,6782683E+05   2002141E-03 -,4473E+01 -,2136E+02   ,9974189 -,0712090 -,0092149
T   10  1 ,6888665E+05   2001977E-03 -,7255E+02 -,1559E+02   ,9987650 -,0496767  ,0008572
T   11  1 ,6746368E+05   2000944E-03  ,1130E+02  ,2236E+02   ,9997786 -,0024919  ,0208919
T   12  1 ,6772686E+05   2000715E-03  ,1875E+02  ,1215E+02   ,9984777  ,0400047  ,0379717
T   13  1 ,6768474E+05   2001791E-03  ,5698E+02  ,1809E+03   ,9928982  ,0454717  ,1099339
T   14  1 ,6742533E+05   2000540E-03  ,3189E+02 -,3321E+02   ,9984411  ,0001338 -,0558155
T   15  1 ,6809443E+05   2002203E-03  ,4726E+02 -,2960E+02   ,9986310  ,0460730 -,0247659
T   16  1 ,6896598E+05   2001205E-03  ,1223E+03 -,5538E+02   ,9979980  ,0523545 -,0354830
T   17  1 ,6821962E+05   2001375E-03 -,1028E+03  ,1125E+03   ,9957195 -,0681364  ,0624511
T   18  1 ,6755034E+05   2000464E-03 -,2706E+02 -,1302E+02   ,9992753 -,0144262 -,0352238
T   19  1 ,6853470E+05   2001119E-03  ,1392E+03  ,9382E+02   ,9956500  ,0735306  ,0572215
T   20  1 ,6666635E+05   2000711E-03 -,1283E+03  ,8062E+02   ,9976942 -,0458624  ,0500292
T   21  1 ,6783508E+05   2000882E-03  ,6201E+02  ,1034E+03   ,9965687  ,0580532  ,0589974
T   22  1 ,6802406E+05   2001170E-03  ,3115E+01 -,1195E+02   ,9997074 -,0020720 -,0241017
T   23  1 ,6732539E+05   2000909E-03  ,1831E+02  ,7111E+01   ,9995934 -,0009297  ,0284987
T   24  1 ,6759868E+05   2000190E-03 -,5120E+02 -,7174E+02   ,9971575 -,0501416 -,0562377
T   25  1 ,6793734E+05   2000300E-03 -,2083E+02  ,4128E+02   ,9986749 -,0336015  ,0389797
T   26  1 ,6804936E+05   2000834E-03 -,3382E+02 -,6297E+01   ,9996045  ,0027372  ,0279880
T   27  1 ,6722973E+05   2001259E-03  ,1057E+03 -,6503E+02   ,9953747  ,0893236 -,0353636
T   28  1 ,6679302E+05   2000590E-03 -,4480E+02  ,1736E+02   ,9993442 -,0354181  ,0075336
