============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(50 keV) ==> Aluminum+Polypropylene (( 5750 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    4  2 ,6202143E+03   5751160E-03 -,1652E+02 -,1484E+03   ,8171184  ,3466054  ,4606324
T    6  2 ,1325642E+04   5752533E-03  ,1077E+04 -,5244E+03   ,9117829  ,2349375 -,3368329
T   49  2 ,7259657E+03   5751595E-03  ,3235E+03 -,1793E+03   ,6033841  ,7474519  ,2779267
T   69  2 ,2205528E+04   5750659E-03  ,9855E+02  ,3643E+01   ,9594929  ,1247288  ,2526186
T   74  2 ,2328475E+03   5751499E-03 -,1847E+03 -,8516E+03   ,9750714 -,0255067  ,2204205
T   87  2 ,2393737E+04   5752554E-03  ,6497E+03 -,7916E+03   ,9857734 -,0185006  ,1670586
T  105  2 ,1099564E+04   5750499E-03  ,3093E+03 -,3400E+03   ,9261487  ,1245320 -,3560062
T  116  2 ,5125137E+03   5751955E-03 -,6297E+03 -,1547E+04   ,6726597 -,4995024 -,5459179
T  148  2 ,1551738E+04   5750175E-03 -,9113E+02 -,1039E+04   ,9580542 -,2860764 -,0170990
T  155  2 ,1704222E+04   5750162E-03  ,2767E+02 -,4900E+03   ,9606211 -,1174440  ,2518214
T  186  2 ,7092655E+03   5751370E-03 -,4994E+03  ,4486E+03   ,6392953 -,4316565 -,6363758
T  204  2 ,1188421E+04   5750030E-03  ,7615E+02  ,4973E+01   ,8306468 -,5201404  ,1986954
T  208  2 ,1958675E+04   5751860E-03 -,4378E+03 -,2299E+03   ,7489770 -,6011819  ,2785925
T  268  2 ,1267929E+04   5750404E-03  ,1272E+03  ,1542E+03   ,4109602 -,2093382 -,8872932
T  271  2 ,5851473E+03   5751841E-03  ,5612E+03  ,3072E+03   ,8611266  ,2373948  ,4495606
T  282  2 ,2352488E+04   5750400E-03  ,1296E+03  ,7776E+03   ,8718422  ,4697113  ,1387890
T  286  2 ,7581074E+03   5751139E-03  ,7532E+03 -,7498E+03   ,9539264 -,2221585 -,2016680
T  291  2 ,1057824E+03   5751167E-03  ,2493E+03 -,9261E+03   ,6642002 -,7079337 -,2401414
T  293  2 ,1303116E+04   5752172E-03  ,1775E+03  ,7811E+02   ,9207533  ,3833062  ,0727308
T  295  2 ,2071454E+04   5751464E-03 -,3520E+03 -,2863E+03   ,8855058  ,4363461  ,1596296
T  315  2 ,2026173E+04   5752112E-03  ,5271E+03 -,1432E+03   ,9998144  ,0179245  ,0070570
T  324  2 ,2351094E+04   5751858E-03 -,2424E+03  ,1180E+03   ,7531116  ,2182359 -,6206416
T  327  2 ,1390936E+04   5752111E-03  ,1222E+04 -,5591E+01   ,8509557 -,3478857  ,3935097
T  328  2 ,1166214E+03   5750068E-03  ,6571E+02  ,3192E+03   ,3097742  ,3331831  ,8905217
T  334  2 ,5121326E+03   5750265E-03  ,4635E+03 -,1032E+04   ,9669236  ,1034990 -,2331240
T  340  2 ,1823479E+04   5750819E-03 -,6831E+02  ,1403E+03   ,7255797  ,6426606 -,2460111
T  353  2 ,1457503E+04   5750237E-03 -,6665E+02  ,1391E+02   ,8553677 -,3643827  ,3682003
T  363  2 ,4853583E+03   5750106E-03 -,1097E+04 -,2535E+03   ,3553075 -,9331116  ,0553110
T  388  2 ,1044759E+03   5751177E-03 -,4377E+03 -,5246E+02   ,4353639 -,5644095 -,7013560
T  414  2 ,2034820E+04   5750979E-03  ,2888E+03 -,3112E+03   ,5247615  ,8504726  ,0363559
T  453  2 ,1082570E+04   5752770E-03 -,5807E+03 -,9696E+03   ,9496998 -,3007295  ,0873612
T  473  2 ,6552453E+03   5752103E-03 -,3021E+03 -,3446E+03   ,9195113  ,0449487 -,3904851
T  524  2 ,1630875E+04   5750198E-03 -,6329E+03 -,1559E+03   ,2965626 -,3368522 -,8936337
T  581  2 ,1062521E+03   5750796E-03  ,2752E+03 -,5394E+02   ,6871841 -,2965106  ,6632190
T  641  2 ,2057889E+04   5752060E-03 -,8639E+03  ,8519E+02   ,8862828  ,2622096  ,3817708
T  655  2 ,1693724E+04   5751715E-03 -,1395E+03  ,1500E+03   ,8389623  ,2328271 -,4918677
