============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(90 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,5876396E+05   2000934E-03  ,6438E+02  ,8814E+01   ,9938462 -,1074720  ,0268234
T    2  2 ,5799104E+05   2000267E-03  ,9935E+02  ,6105E+02   ,9705459  ,2253742  ,0851296
T    3  2 ,5691048E+05   2001409E-03 -,1608E+03  ,4399E+02   ,9904074 -,1333516  ,0362008
T    4  2 ,5680901E+05   2001745E-03 -,7055E+02 -,8810E+02   ,9949329 -,0148868 -,0994325
T    5  2 ,5659131E+05   2001903E-03 -,1178E+03  ,1109E+03   ,9932682 -,0965631  ,0639830
T    6  2 ,5800321E+05   2001573E-03  ,1307E+03  ,1009E+03   ,9930332  ,1081139  ,0468668
T    7  2 ,5836228E+05   2001105E-03  ,1226E+03 -,9296E+02   ,9925792  ,0938713 -,0772964
T    8  2 ,5728096E+05   2000740E-03 -,2680E+02  ,1031E+02   ,9992771 -,0239252  ,0295436
T    9  2 ,5533711E+05   2001311E-03 -,4735E+03  ,1707E+03   ,9379624 -,2272183  ,2619130
T   10  2 ,5819954E+05   2000088E-03 -,4023E+03 -,7423E+02   ,9715233 -,2369382  ,0016555
T   11  2 ,5777036E+05   2002203E-03  ,4283E+02 -,2446E+02   ,9987676  ,0491435 -,0069420
T   12  2 ,5804749E+05   2001801E-03  ,7319E+02 -,3381E+02   ,9917935  ,1178171 -,0496474
T   13  2 ,5622665E+05   2001578E-03  ,3029E+03 -,3373E+03   ,9614431  ,1833065 -,2050021
T   14  2 ,5691749E+05   2001757E-03  ,7071E+02  ,7065E+02   ,9956398  ,0932783 -,0006940
T   15  2 ,5745634E+05   2000121E-03  ,1130E+03  ,1553E+02   ,9960590  ,0844788  ,0270132
T   16  2 ,5942478E+05   2001671E-03 -,2814E+03  ,2585E+02   ,9874526 -,1505134  ,0477816
T   17  2 ,5796882E+05   2000190E-03  ,2497E+03  ,6707E+02   ,9947589  ,1005790  ,0184032
T   18  2 ,5774529E+05   2001417E-03  ,5925E+02 -,3604E+02   ,9948004  ,1017820 -,0035580
T   19  2 ,5684627E+05   2002099E-03 -,2883E+03 -,2643E+03   ,9759707 -,1588220 -,1491867
T   20  2 ,5479276E+05   2001592E-03 -,2338E+03  ,7392E+02   ,9966952 -,0658588  ,0475541
T   21  2 ,4440778E+05   2001327E-03 -,1636E+03 -,1382E+04   ,9411517 -,1129373 -,3185572
T   22  2 ,5783192E+05   2000227E-03  ,7097E+02  ,4725E+02   ,9936718  ,0723646  ,0859054
T   23  2 ,5777324E+05   2001313E-03  ,8133E+01  ,6371E+02   ,9974261 -,0319038  ,0642131
T   24  2 ,5651983E+05   2002104E-03  ,1442E+03  ,4228E+03   ,9727311  ,0585434  ,2244257
T   25  2 ,5952383E+05   2000374E-03 -,3282E+02  ,5531E+02   ,9953785 -,0462858  ,0841387
T   26  2 ,5802628E+05   2001895E-03  ,3016E+02 -,1255E+03   ,9975144 -,0040872 -,0703449
T   27  2 ,5593275E+05   2001257E-03  ,4971E+02  ,2544E+03   ,9842203 -,0114965  ,1765734
T   28  2 ,5808082E+05   2001475E-03 -,6025E+02  ,7839E+02   ,9963550 -,0458309  ,0719461
T   29  2 ,5812953E+05   2000579E-03  ,1088E+02 -,1154E+03   ,9979311 -,0135434 -,0628495
T   30  2 ,5834553E+05   2000246E-03 -,5567E+02  ,1105E+03   ,9943271 -,0598454  ,0879330
T   31  2 ,5545084E+05   2001604E-03  ,6362E+02  ,2442E+03   ,9779048 -,0168641  ,2083696
T   32  2 ,5734746E+05   2000472E-03  ,1386E+03  ,5694E+02   ,9905181  ,1307680  ,0421153
T   33  2 ,5740291E+05   2000358E-03  ,3277E+02 -,2665E+02   ,9996571  ,0234769 -,0115991
T   34  2 ,5779972E+05   2001688E-03 -,5686E+02 -,2009E+03   ,9852358 -,0272757 -,1690161
T   35  2 ,5858696E+05   2001193E-03  ,1638E+03  ,9782E+02   ,9876544  ,1257101  ,0934648
T   36  2 ,5586809E+05   2000374E-03  ,9459E+01  ,4855E+02   ,9990231 -,0040033  ,0440102
T   37  2 ,5852847E+05   2001297E-03  ,3766E+02  ,3119E+02   ,9975178 -,0599628  ,0369142
T   38  2 ,5732439E+05   2000963E-03  ,1387E+01 -,9336E+00   ,9994863  ,0201405 -,0249313
T   39  2 ,5694108E+05   2000966E-03 -,3033E+03  ,6938E+01   ,9808655 -,1907979  ,0387168
T   40  2 ,5839056E+05   2001544E-03  ,4398E+02  ,7230E+02   ,9991656  ,0198118  ,0357148
